procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 2103740288   7024 2294820    0    0     0     1    1    0  0  0 100  0  0
 2  0      0 2103609856   7024 2376816    0    0    92    16 7479 9618  0  0 99  1  0
 1  0      0 2103548416   7024 2388268    0    0     0   200 5403 7343  0  0 100  0  0
 0  1      0 2103456000   7024 2459556    0    0     0     6 6696 7995  0  0 99  0  0
 1  0      0 2103361280   7024 2538940    0    0     0     0 6912 8541  0  0 99  1  0
 0  0      0 2103180800   7024 2669500    0    0     0    46 10578 14227  0  0 99  0  0
 1  1      0 2103107456   7024 2713008    0    0     0     0 6699 9579  0  0 99  0  0
 2  0      0 2103125248   7024 2682620    0    0   242     0 7602 9146  0  0 99  0  0
 1  0      0 2103230592   7024 2596080    0    0     2  1906 5671 5614  0  1 99  0  0
 2  1      0 2102994048   7024 2657536    0    0     0     0 7899 9280  0  0 99  0  0
 2  1      0 2102899968   7024 2700496    0    0     0   110 12427 18632  0  0 99  0  0
 2  1      0 2102747776   7024 2829064    0    0     0    52 12323 15948  0  0 99  0  0
 2  0      0 2102674048   7024 2869044    0    0     0     0 9328 12958  0  0 99  0  0
 1  1      0 2102527872   7024 2816052    0    0     0  1808 10397 14497  0  0 99  0  0
 1  0      0 2102490240   7024 2790780    0    0    82    84 6792 11538  0  0 99  0  0
 2  0      0 2102376448   7024 2832680    0    0     0     0 5515 6595  0  0 99  0  0
 2  1      0 2102175488   7024 2935780    0    0     0     8 11595 15286  0  0 99  0  0
 4  0      0 2101972736   7024 3017572    0    0     0    52 14299 16936  0  0 99  0  0
 3  0      0 2101972096   7024 3021684    0    0     0     0 12402 15914  1  0 99  0  0
 1  2      0 2101961728   7024 3027452    0    0     0     0 12522 15860  1  0 99  0  0
 1  2      0 2101957504   7024 3031628    0    0     0    46 12585 15826  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2      0 2101954176   7024 3035636    0    0     0     0 12360 15656  1  0 99  0  0
 4  0      0 2101703936   7024 3052224    0    0     0 15884 19201 20489  1  1 98  0  0
 7  0      0 2101686272   7024 3057888    0    0     0 23800 26707 29186  1  1 98  0  0
 3  0      0 2101682176   7024 3062248    0    0     0  6096 16360 19568  1  0 99  0  0
 0  3      0 2101675008   7024 3067788    0    0     0   252 12391 15830  1  0 99  0  0
 2  0      0 2101670528   7024 3072892    0    0     0   146 9575 14794  0  0 99  0  0
 1  0      0 2101797632   7024 3076076    0    0     0     0 7583 13141  0  0 99  0  0
