procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0    768 2617256   3248 522439168    0    0     0     0    1    1  0  0 100  0  0
 1  0    768 2537312   3248 522514752    0    0    92     0 5958 8058  0  0 99  0  0
 1  0    768 2426464   3248 522528864    0    0     0   214 8924 8387  0  0 99  0  0
 2  0    768 2365860   3248 522582496    0    0     0     0 5926 7109  0  0 99  0  0
 1  0    768 2280108   3248 522657376    0    0     0    10 5132 6260  0  0 99  0  0
 1  1    768 2172424   3248 522732384    0    0     0     0 7729 9904  0  0 99  0  0
 1  1    768 2063320   3248 522813504    0    0     0     0 6564 8067  0  0 99  0  0
 1  0    768 2019696   3248 522831520    0    0     0     0 3763 5813  0  0 99  1  0
 1  0    768 2023968   3248 522823648    0    0     0   419 4842 5697  0  0 100  0  0
 0  1    768 1983808   3248 522852224    0    0     0     0 5484 6785  0  0 99  0  0
 0  1    768 1971400   3248 522869280    0    0     0     0 2096 2246  0  0 99  1  0
 0  1    768 2545012   3248 522293568    0    0     0     0 2187 2228  0  0 99  1  0
 1  0    768 2545724   3248 522300096    0    0     0     0 2249 2722  0  0 100  0  0
 0  2    768 2500284   3248 522324544    0    0    48     0 8137 11055  0  0 99  0  0
 1  0    768 2454504   3248 522361280    0    0     0     0 5674 7148  0  0 99  0  0
 6  0    768 2446792   3248 522345152    0    0     5    12 5224 6540  0  0 99  0  0
 0  1    768 2473832   3248 522305344    0    0     0     0 4698 8398  0  0 100  0  0
 2  1    768 2227124   3248 522369184    0    0     0     6 7370 8275  0  0 99  0  0
 1  0    768 2168564   3248 522389824    0    0     0     0 9836 16458  0  0 99  0  0
 1  0    768 2103444   3248 522423232    0    0     0     0 7971 11495  0  0 99  0  0
 0  1    768 2058028   3248 522448224    0    0     0     0 5839 7806  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0    768 2020940   3248 522470496    0    0     0     0 6759 8943  0  0 99  0  0
 7  0    768 2385428   3248 521890880    0    0    90     0 5323 9696  0  0 99  0  0
 2  0    768 2275648   3248 521902720    0    0     0   384 3441 4110  1  0 99  0  0
 4  0    768 2199872   3248 521966336    0    0     0     0 7600 9708  0  0 99  0  0
 3  0    768 2189420   3248 521974880    0    0     0     0 5508 8436  0  0 99  0  0
 1  2    768 2199348   3248 521980480    0    0     0     0 8468 12561  0  0 99  0  0
 2  0    768 2194840   3248 521984352    0    0     0     0 8729 14649  0  0 99  0  0
 2  0    768 2195848   3248 521988288    0    0     0     0 8426 13748  0  0 99  0  0
 1  0    768 2191688   3248 521992064    0    0     0     0 8327 13960  0  0 99  0  0
 0  2    768 2188412   3248 521995968    0    0     0     0 8707 14547  0  0 99  0  0
 1  2    768 1930676   3248 522011936    0    0     0     0 6627 9005  0  0 99  0  0
 1  0    768 2200536   3248 522011776    0    0     0     0 9686 14830  0  0 99  0  0
 2  0    768 2180716   3248 522015680    0    0     0     0 9340 14732  0  0 99  0  0
 0  0    768 2176432   3248 522019680    0    0     0     0 8880 14857  0  0 99  0  0
 0  2    768 2172680   3248 522023616    0    0     0   112 8579 14375  0  0 99  0  0
 1  0    768 2148092   3248 522039744    0    0     0     0 6570 9762  0  0 99  0  0
