timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2025/05/16 11:10:37.014, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 26, 0 %, 0 %, 46068 MiB, 45485 MiB, 1 MiB
2025/05/16 11:10:40.024, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 26, 0 %, 0 %, 46068 MiB, 45485 MiB, 1 MiB
2025/05/16 11:10:43.034, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 26, 0 %, 0 %, 46068 MiB, 45485 MiB, 1 MiB
2025/05/16 11:10:46.042, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 26, 0 %, 0 %, 46068 MiB, 45485 MiB, 1 MiB
2025/05/16 11:10:49.053, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 26, 0 %, 0 %, 46068 MiB, 45485 MiB, 1 MiB
2025/05/16 11:10:52.062, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 28, 0 %, 0 %, 46068 MiB, 45051 MiB, 435 MiB
2025/05/16 11:10:55.071, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 28, 0 %, 0 %, 46068 MiB, 45051 MiB, 435 MiB
2025/05/16 11:10:58.079, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 28, 0 %, 0 %, 46068 MiB, 45051 MiB, 435 MiB
